learning.rate,dropout,filters_0,filters_end,kernel_size_0,kernel_size_end,max_pool_end,number_of_cnn_layers,conv_block_count,dilation_end,dense_layer_num,dense_layer_units,batch_norm_momentum,leaky_relu_alpha,dense_activation,optimizer,reverse_encoding,skip_block_fraction,maxlen,residual_block,model_type,recurrent_type,recurrent_layers,recurrent_bidirectional,recurrent_units,batchsize,y,paramcount
0.000229480250586694,0.184435465675328,777.810387692099,22.3111831429846,3.79919621578118,20.9909631322808,15.4874601307186,6,7,2.10266314094328,1,79,0.688814208690898,0.263025938797826,tanh,adam,TRUE,0.649567914729326,150,FALSE,gap,,,,,1542,0.66439688205719,2675616
0.000213834479613373,0.225658598620259,622.189922712895,29.8014334263986,4.13787451884891,44.434091079579,15.7883078024277,9,7,3.34948911739134,2,284,0.760488635052304,0.0481179243999905,tanh,adam,TRUE,0.716932895697132,150,FALSE,gap,,,,,1773,0.689678490161896,3471893
0.00110332387285675,0.24535995611723,172.015078907681,80.9577789386104,2.69888934159285,17.604837852509,4.84340348824215,13,1,13.4907575311883,0,45,0.264872545882995,0.0518195216414839,relu,adam,TRUE,0.595057427544591,150,TRUE,gap,,,,,984,0.737014472484589,3305341
0.000263006064464104,0.314459311241316,262.343256627414,901.96724900766,2.63165880668659,5.44518569625908,14.7549806343608,5,3,1.91869554553999,0,1474,0.47294713291096,0.314219750750659,tanh,adam,TRUE,,150,FALSE,recurrent,lstm,3,TRUE,19,1584,0.661430478096008,8050761
0.00143815937202705,0.210746345196553,378.890492013835,57.5173151019701,6.05173030032526,53.4113831279884,7.07752709073981,3,4,3.25317202256257,0,32,0.183971823469602,0.0301520368568161,relu,adam,TRUE,,150,TRUE,recurrent,lstm,1,TRUE,58,3474,0.690450489521027,1606250
0.00039517784549691,0.0753964925379945,122.816697268446,219.637261636017,4.09436276828999,31.2226119298265,7.71346749711958,6,5,2.6715796812564,1,454,0.26943568449547,0.272684342483278,relu,adam,TRUE,,150,TRUE,recurrent,lstm,1,TRUE,108,2856,0.718409597873688,2845369
0.000325469021612813,0.140561754982812,146.115805511044,370.795942429537,7.85760336912279,2.52907799656784,69.714731031288,5,5,11.1640308423464,2,365,0.757680147480139,0.85788210208659,relu,adam,FALSE,0.606261217285641,10000,FALSE,gap,,,,,204,0.938725471496582,1367073
0.000274355679348559,0.142388876606954,108.982049260279,117.376901229446,15.092342256797,2.64357299614922,83.9126186957934,5,7,22.2874454908358,2,470,0.849462025873694,0.801843004017471,relu,adam,TRUE,0.517622684619784,10000,FALSE,gap,,,,,195,0.963614165782928,714802
0.000158111560902407,0.124059138498281,138.239982107327,89.8573552606687,3.01805910624982,2.28147350666813,10.1903389384778,16,2,78.0953886000199,1,250,0.663668386683261,0.187486349052821,tanh,adam,FALSE,0.310845325814458,10000,TRUE,gap,,,,,42,0.978446125984192,695248
0.000116841968179366,0.310962546713881,60.1535904119654,401.03790416561,2.82620363697831,2.77865056013812,115.416903622864,4,9,6.08128968092271,1,152,0.128782020125171,0.832424477274495,tanh,adam,TRUE,,10000,TRUE,recurrent,lstm,1,TRUE,452,195,0.935286939144135,3704628
0.000434846151573256,0.682954179811766,708.331588734005,147.494871178243,12.8538646237117,58.9992615770785,90.8419375423204,1,10,57.2750344578743,0,73,0.19931258352365,0.251382539365669,tanh,adam,FALSE,,10000,TRUE,recurrent,lstm,1,TRUE,23,126,0.969494044780731,175426
8.49959259780811e-05,0.57875107016835,1037.59316813642,124.482476462698,17.6619479975293,23.6498944336812,99.4578100105769,1,8,19.2755954162339,1,216,0.454210767489966,0.460995385744706,tanh,adam,FALSE,,10000,TRUE,recurrent,lstm,1,FALSE,150,78,0.978883862495422,826593
