learning.rate,dropout,filters_0,filters_end,kernel_size_0,kernel_size_end,max_pool_end,number_of_cnn_layers,conv_block_count,dilation_end,dense_layer_num,dense_layer_units,batch_norm_momentum,leaky_relu_alpha,dense_activation,optimizer,reverse_encoding,skip_block_fraction,maxlen,residual_block,model_type,recurrent_type,recurrent_layers,recurrent_bidirectional,recurrent_units,batchsize,desc
0.000250135692012424,0.311007837243721,512.703824960101,36.4133982308004,3.79919621578118,23.0680723556755,11.9548609551187,6,6,2.27391178844221,1,85,0.671880221340915,0.444452144605434,tanh,adam,TRUE,0.649567914729326,150,FALSE,gap,,,,,2700,median-of-3_2hr_gap_len_150
0.000213834479613373,0.141194075947419,464.767106846123,115.25368398633,3.24852278304742,27.2098654789087,15.7055694512036,9,7,3.31099471686171,2,284,0.760488635052304,0.0757738797289662,tanh,adam,TRUE,0.716932895697132,150,FALSE,gap,,,,,1932,median-of-3_6hr_gap_len_150
0.00109128454649506,0.24535995611723,204.960045313354,64.0798902447767,4.08537604732659,17.604837852509,4.84340348824215,12,3,8.18016287512,0,45,0.427978699677349,0.0649944400466681,relu,adam,TRUE,0.499799188822531,150,TRUE,gap,,,,,1071,median-of-3_20hr_gap_len_150
0.000258587350368888,0.331858363731361,262.343256627414,901.96724900766,2.63165880668659,5.70709649602395,14.7549806343608,4,4,1.91869554553999,0,1341,0.394071943539872,0.314219750750659,tanh,adam,TRUE,,150,FALSE,recurrent,lstm,3,TRUE,22,1986,median-of-3_2hr_recurrent_len_150
0.00143815937202705,0.210746345196553,378.890492013835,57.5173151019701,6.05173030032526,53.3407807473824,7.15067783016047,3,4,3.30077527799311,0,32,0.18573483649245,0.0310073201775739,relu,adam,TRUE,,150,TRUE,recurrent,lstm,1,TRUE,56,3198,median-of-3_6hr_recurrent_len_150
0.00039517784549691,0.0753964925379945,122.816697268446,102.318313110923,4.05757435445139,31.2226119298265,7.65134025834321,6,4,2.6715796812564,1,454,0.346841094076418,0.0661634560207204,relu,adam,TRUE,,150,TRUE,recurrent,lstm,1,TRUE,108,2856,median-of-3_20hr_recurrent_len_150
0.000270865977250554,0.155290807012851,146.115805511044,370.795942429537,8.29996034516963,2.79520933881047,69.714731031288,5,5,11.0030829351969,2,365,0.806162539409591,0.865446547433206,relu,adam,FALSE,0.609601880830702,10000,FALSE,gap,,,,,204,median-of-3_2hr_gap_len_10000
0.000274355679348559,0.142388876606954,114.209805279994,130.161946462252,15.092342256797,2.75536401734496,93.6656263368199,5,7,20.6452602957038,2,419,0.852881522219566,0.838269403035634,relu,adam,TRUE,0.62216659936468,10000,FALSE,gap,,,,,195,median-of-3_6hr_gap_len_10000
0.000187930212187625,0.124059138498281,116.320050076483,89.8573552606687,3.65051204034846,2.8316633049994,10.1903389384778,16,2,78.0953886000199,1,232,0.650804756380767,0.296091552791288,tanh,adam,FALSE,0.355362393961469,10000,TRUE,gap,,,,,42,median-of-3_20hr_gap_len_10000
0.000199315579773241,0.315686406000495,163.646049665987,886.806769738611,5.46671727228678,3.68812809718945,123.643277448903,1,10,5.69601160556809,2,85,0.0798911367885754,0.809139129126001,tanh,adam,TRUE,,10000,TRUE,recurrent,lstm,2,TRUE,180,195,median-of-3_2hr_recurrent_len_10000
0.000464420387349909,0.678691367484028,702.251449860571,140.826792546604,13.2399149790162,58.9992615770785,90.8419375423204,1,9,56.9180925588984,0,73,0.198572226598383,0.251382539365669,tanh,adam,FALSE,,10000,TRUE,recurrent,lstm,1,TRUE,23,126,median-of-3_6hr_recurrent_len_10000
8.49959259780811e-05,0.373204855812728,1032.07283055377,137.548200946445,16.6855357311883,16.7661782966165,105.194194283057,1,8,3.94557768522592,0,216,0.666406425440521,0.460995385744706,tanh,adam,FALSE,,10000,TRUE,recurrent,lstm,1,FALSE,150,78,median-of-3_20hr_recurrent_len_10000
